,ссылка,цена,агенство,общая площадь,жилая площадь,этаж,всего этажей,Дети,холодильник,посудомойка,стиральная машина,мебель в комнатах,мебель на кухне,телевизор,интернет,кондиционер,душ,ванна,район,улица
78,https://mahachkala.cian.ru/rent/flat/287165022/,1400,Собственник,35,28,1,6,1,1,0,1,1,1,1,0,1,0,1, Ленинский, Атланаульская
79,https://mahachkala.cian.ru/rent/flat/286893862/,2000,0,40,20,5,9,1,1,0,1,1,1,1,1,1,0,1,0,просп. Акулиничева
80,https://mahachkala.cian.ru/rent/flat/287000718/,2000,Собственник,40,0,2,5,1,1,0,1,1,1,1,1,1,0,1,0, Азиза Алиева
81,https://mahachkala.cian.ru/rent/flat/287203685/,2500,Собственник,40,6,6,12,1,1,0,1,1,1,1,1,1,0,1, Кировский,0
82,https://mahachkala.cian.ru/rent/flat/274043556/,3000,Собственник,30,22,1,5,1,1,0,1,1,1,1,1,1,0,1, Кировский, Мирзабекова
83,https://mahachkala.cian.ru/rent/flat/287046825/,3000,Собственник,50,40,11,12,1,1,1,1,1,1,1,1,1,0,1, Ленинский, Магарамкентская
84,https://mahachkala.cian.ru/rent/flat/272403895/,2500,Собственник,50,0,3,9,1,1,0,1,1,1,1,1,1,0,1, Ленинский, Ибрагима-Хаджи Урадинского
85,https://mahachkala.cian.ru/rent/flat/273899389/,2500,Собственник,65,0,4,6,1,1,0,1,1,1,1,1,1,0,1, Ленинский, Красноярская
86,https://mahachkala.cian.ru/rent/flat/277157687/,6000,Собственник,55,30,13,13,1,1,0,1,1,1,1,1,1,1,0, Ленинский, Грязелечебная
87,https://mahachkala.cian.ru/rent/flat/285453078/,3800,Собственник,67,0,17,20,1,1,0,1,1,1,1,1,1,0,1, Ленинский, Времена Года
88,https://mahachkala.cian.ru/rent/flat/274701160/,2000,Собственник,42,30,8,10,1,1,0,1,1,1,1,1,1,0,1,0,просп. Акулиничева
89,https://mahachkala.cian.ru/rent/flat/287333809/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,https://mahachkala.cian.ru/rent/flat/287310886/,2500,Собственник,45,35,3,5,1,1,0,1,1,1,1,1,1,0,1,0,Комсомольская 
91,https://mahachkala.cian.ru/rent/flat/287318021/,2500,Собственник,50,30,3,5,1,1,0,1,1,1,1,1,0,0,1,0,Комсомольская 
